SGI,med_10m,med_20m
A51d-28,-0.468,-0.1465
A51d-29,0,0
A51d-30,-0.351,-0.0715
A51d-31,-0.326,-0.096
A51e-03,-0.0785,-0.017
A51e-05,-0.516,-0.2155
A51e-06,-0.633,-0.2915
A51e-07,-0.0345,-0.01
A51e-08,-0.667,-0.312
A51e-09,-0.002,0
A51e-10,-0.7035,-0.3515
A51e-12,-0.5854999999999999,-0.2635
A51e-13,0,0
A51e-16,0,0
A51e-20,0,0
A51e-22,-0.8965000000000001,-0.4575
A51e-24,-1.1364999999999998,-0.579
A51e-25,-0.8134999999999999,-0.3995
A51e-27,0,0
A51e-29,-0.485,-0.159
A51e-32,-0.504,-0.0975
A51e-33,-0.1305,0
A51e-34,-0.111,0
A51e-35,0,0
A51e-38,-0.7464999999999999,-0.2485
A51e-39,-0.676,-0.298
A51e-42,0,0
A51e-43,-0.26,-0.068
A51e-45,-0.0315,0
A51e-46,-0.097,-0.04
A51e-47,-0.5834999999999999,-0.272
A51e-48,-0.169,-0.4375
A51e-49,-0.23,-0.076
A51e-56,0,0
A51e-58,-0.1485,-0.0805
A51f-02,0,0
A51f-03,-0.5994999999999999,-0.1985
A51f-04,-0.6295,-0.3225
A51f-08,-0.646,-0.2865
A51f-12,-1.39,-0.713
A51f-13,0,0
A51f-16,-1.8039999999999998,-0.8574999999999999
A51f-18,-0.9315,-0.449
A51f-19,0,0
A51f-20,-0.8785000000000001,-0.416
A51f-22,-0.4535,-0.161
A51f-26,-0.5425,-0.2545
A51f-27,0,0
A51f-28,0,0
A51f-29,-0.8095000000000001,-0.362
A51f-35,-0.391,-0.152
A51f-36,-0.3615,-0.147
A51f-38,-0.4755,-0.2055
A51f-40,-0.3215,-0.14
A51f-42,-0.7364999999999999,-0.4025
A51f-43,-0.704,-0.4205
A51f-44,-0.57,-0.287
A51f-45,-0.405,-0.1985
A51f-46,-0.6074999999999999,-0.297
A51f-47,-0.6515,-0.2205
A51f-48,-0.3255,-0.124
A51f-49,-0.579,-0.128
A51f-50,-0.5765,-0.282
A51f-52,-0.541,-0.249
A51f-54,-0.5395000000000001,-0.28
A51f-55,-0.522,-0.2425
A51f-56,-0.563,-0.2915
A51f-57,-0.288,-0.101
A51f-59,-0.4375,-0.2105
A51f-60,-0.252,-0.1225
A51f-61,0,0
A51f-62,-0.055,-0.019
A51f-63,-1.138,-0.557
A51f-64,-0.2465,-0.066
A51f-65,-0.234,-0.0565
A51f-66,-0.13,-0.03
A51f-68,0,0
A51f-69,0,0
A51f-71,0,0
A51f-72,-0.01,0
A51f-74,-0.221,-0.016
A51f-75,-0.5145,-0.238
A51f-76,-0.469,-0.235
A51f-77,-0.6755,-0.354
A51f-79,0,0
A51f-80,0,0
A51f-81,-0.4385,-0.183
A51f-83,-0.2585,-0.101
A51f-84,-0.0955,0
A51g-01,-0.048,-0.007
A51g-02,-0.2805,-0.0875
A51g-03,0,0
A51g-04,0,0
A51g-07,0,0
A51g-09,-0.4045,-0.183
A51g-10,-0.2095,-0.0655
A51g-12,0,0
A51g-13,-0.315,-0.107
A51g-14,0,0
A51g-15,-0.933,-0.4825
A51g-16,0,0
A51g-17,-0.8095000000000001,-0.3665
A51g-19,-0.6705000000000001,-0.1645
A51h-02,0,0
A51h-04,-0.2745,-0.0965
A51h-05,-1.0859999999999999,-0.4895
A51h-06,0,0
A51h-08,-0.603,-0.226
A51h-10,-0.752,-0.406
A51h-11,-0.451,-0.202
A51h-13,0,0
A51h-14,-0.3995,-0.1895
A51h-15,-0.6665000000000001,-0.279
A51h-16,-0.6255,-0.2715
A51h-20,0,0
A51h-22,-0.5255000000000001,-0.244
A51h-23,-0.435,-0.1705
A51h-24,-1.0425,-0.517
A51h-25,0,0
A54e-01,-0.841,-0.518
A54e-02,-0.8745,-0.4425
A54e-05,-0.491,-0.2525
A54e-07,-0.482,-0.2105
A54e-09,0,0
A54e-10,-0.85,-0.413
A54e-14,-0.7055,-0.295
A54e-15,-0.907,-0.396
A54e-16,-0.721,-0.3095
A54e-17,-0.06,0
A54e-19,0,0
A54e-20,-0.9644999999999999,-0.523
A54e-21,-1.125,-0.4795
A54e-23,-3.78,-2.0435
A54e-26,0,0
A54e-27,-0.308,-0.042499999999999996
A54e-30,-1.178,-0.766
