SGI,med_10m,med_20m
A51d-23,-0.7204999999999999,-0.264
A51d-24,0,0
A51d-25,0,0
A51d-26,0,0
A51d-27,0,0
A51d-28,-0.336,-0.092
A51d-29,0,0
A51d-30,-0.3695,-0.106
A51d-31,-0.341,-0.113
A51e-03,-0.0555,-0.0155
A51e-05,-0.4575,-0.166
A51e-06,-0.7055,-0.2885
A51e-07,-0.105,-0.029
A51e-08,-0.669,-0.2435
A51e-09,-0.001,-0.001
A51e-10,-0.928,-0.4225
A51e-12,-0.6205,-0.278
A51e-13,0,0
A51e-16,0,0
A51e-20,0,0
A51e-22,-0.7765,-0.329
A51e-24,-0.516,-0.1855
A51e-25,-1.0114999999999998,-0.5445
A51e-27,0,0
A51e-29,-1.1545,-0.469
A51e-32,-0.6054999999999999,0
A51e-33,-0.355,-0.089
A51e-34,-0.075,-0.013
A51e-35,0,0
A51e-38,-0.9555,-0.4595
A51e-39,-0.557,-0.279
A51e-42,0,0
A51e-43,-0.235,-0.07
A51e-45,-0.014,-0.005
A51e-46,-1.125,-0.4415
A51e-47,-0.1735,-0.052
A51e-48,-0.0885,-0.02
A51e-49,-0.305,-0.093
A51e-56,0,0
A51e-58,-0.184,-0.0615
A51f-02,0,0
A51f-03,-0.524,-0.2325
A51f-04,-0.599,-0.2465
A51f-08,-1.2109999999999999,-0.622
A51f-12,-0.7805,-0.3445
A51f-13,0,0
A51f-16,-1.7235,-0.731
A51f-18,-0.9895,-0.4895
A51f-19,0,0
A51f-20,-0.6875,-0.2755
A51f-22,-0.3445,-0.1045
A51f-26,-0.506,-0.229
A51f-27,0,0
A51f-28,0,0
A51f-29,-0.8245,-0.3805
A51f-35,-0.201,-0.055
A51f-36,-0.7084999999999999,-0.3255
A51f-38,-0.2335,-0.0665
A51f-40,-0.212,-0.079
A51f-42,-0.6185,-0.279
A51f-43,-0.5115000000000001,-0.208
A51f-44,-0.6325000000000001,-0.312
A51f-45,-0.386,-0.17
A51f-46,-0.528,-0.21
A51f-47,-0.63,-0.2185
A51f-48,-0.248,-0.074
A51f-49,-1.757,-1.0975000000000001
A51f-50,-0.578,-0.3065
A51f-52,-0.4145,-0.1575
A51f-54,-0.4505,-0.182
A51f-55,-0.432,-0.1835
A51f-56,-0.219,-0.073
A51f-57,-0.297,-0.0925
A51f-59,-0.4365,-0.22
A51f-60,-0.138,-0.028
A51f-61,0,0
A51f-62,-0.011,-0.003
A51f-63,-0.242,-0.09
A51f-64,-0.5455000000000001,-0.242
A51f-65,-0.747,-0.387
A51f-66,-0.108,-0.027
A51f-68,0,0
A51f-69,0,0
A51f-71,0,0
A51f-72,-0.2115,0
A51f-74,-0.328,-0.104
A51f-75,-0.2095,-0.048
A51f-76,-0.013,-0.005
A51f-77,-0.366,-0.116
A51f-79,0,0
A51f-80,0,0
A51f-81,-0.674,-0.32
A51f-83,-0.024,-0.008
A51f-84,-0.2245,-0.107
A51g-01,-0.028,-0.059
A51g-02,-0.2765,-0.109
A51g-03,0,0
A51g-04,0,0
A51g-07,0,0
A51g-09,-0.3955,-0.177
A51g-10,-0.312,-0.125
A51g-12,0,0
A51g-13,-0.6265000000000001,-0.303
A51g-14,0,0
A51g-15,-0.8365,-0.3935
A51g-16,0,0
A51g-17,-0.292,-0.085
A51g-19,-0.37,-0.121
A51h-02,0,0
A51h-04,-0.009,-0.004
A51h-05,-0.995,-0.41
A51h-06,0,0
A51h-08,-0.485,-0.193
A51h-10,-0.456,-0.198
