SGI,med_10m,med_20m
A51e-06,-0.0025,-0.001
A51e-07,0,0
A51e-08,-0.315,-0.0825
A51e-09,0,0
A51e-10,-0.4435,-0.1245
A51e-12,-0.0,-0.0
A51e-13,0,0
A51e-16,0,0
A51e-20,0,0
A51e-22,-0.125,-0.02
A51e-24,-0.1265,-0.017
A51e-25,-0.024,-0.011
A51e-27,0,0
A51e-29,-1.1524999999999999,-0.325
A51e-32,-0.1555,-0.03
A51e-33,-0.473,-0.1605
A51e-34,-0.023,-0.007
A51e-35,0,0
A51e-38,-0.1725,-0.0455
A51e-39,-0.028,-0.004
A51e-42,0,0
A51e-43,-0.08,-0.017
A51e-45,-0.0,0
A51e-46,-1.3780000000000001,-0.5335000000000001
A51e-47,-0.3045,0
A51e-48,0,0
A51e-49,-0.161,0
A51e-56,0,0
A51e-58,-0.015,-0.005
A51f-02,0,0
A51f-03,-1.416,-0.693
A51f-04,-1.2345000000000002,-0.742
A51f-08,-0.5654999999999999,-0.113
A51f-12,-0.042,-0.016
A51f-13,0,0
A51f-16,-0.7675000000000001,-0.2625
A51f-18,-0.4325,-0.1485
A51f-19,0,0
A51f-20,-0.289,-0.085
A51f-22,-0.0,-0.0
A51f-26,-0.01,-0.005
A51f-27,0,0
A51f-28,0,0
A51f-29,0,0
A51f-35,-0.0,-0.0
A51f-36,-0.0,-0.0
A51f-38,-0.0865,-0.0215
A51f-40,-0.0,-0.0
A51f-42,-0.2755,-0.0655
A51f-43,-0.028,-0.012
A51f-44,-0.066,-0.021
A51f-45,-0.0,-0.0
A51f-46,-0.031,-0.013
A51f-47,-0.8875,-0.3
A51f-48,-0.002,-0.001
A51f-49,-0.556,-0.207
A51f-50,-0.029,-0.009
A51f-52,-0.017,-0.007
A51f-54,-0.021,-0.007
A51f-55,-0.2635,-0.078
A51f-56,-0.0275,-0.009
A51f-57,-0.5255000000000001,-0.2
A51f-59,-0.2625,-0.0615
A51f-60,-0.0,-0.0
A51f-61,0,0
A51f-62,-0.01,-0.005
A51f-63,-0.007,-0.001
A51f-64,-0.062,-0.041
A51f-65,-0.002,0
A51f-66,-0.011,0
A51f-68,0,0
A51f-69,0,0
A51f-71,0,0
A51f-72,-0.2095,0
A51f-74,-0.128,-0.016
A51f-75,-0.0,-0.0
A51f-76,-0.0,-0.0
A51f-77,-0.045,-0.017
