year,firn_cells
1970,0
1971,81
1972,63
1973,63
1974,233
1975,1550
1976,1194
1977,1194
1978,1646
1979,1612
1980,1533
1981,1212
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,2
2001,2
2002,1
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,133
2015,204
2016,201
2017,33
2018,27
2019,20
2020,20
2021,171
2022,244
2023,101
2024,101
2025,237
