date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*former BH1
06/08/2024,0,15.25,15.25,10,
07/09/2024,-1.78,13.47,13.47,8.22,
19/10/2024,-1.89,13.36,13.36,8.11,
24/07/2025,-3.43,11.82,11.82,6.57,
