date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*former BH5 at Hohsaas
08/08/2024,0,20.0,15.6,10.6,
29/09/2024,-0.85387132,19.1,14.7,9.7,
13/08/2025,-1.47219193,18.5,14.1,9.1,
27/09/2025,-2.27719193,17.7,13.3,8.3,
