date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*previous borehole 10 at Alphubel
21/08/2024,0,14,14,9,
21/10/2024,-0.51,13.49,13.49,8.49,
05/08/2025,-0.43,13.57,13.57,8.57,
16/09/2025,-1.19,12.81,12.81,7.81,
