date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*former BH2
06/08/2024,0,14.45,14.45,10,
07/09/2024,-0.46,13.99,13.99,9.54,
19/10/2024,-0.635,13.815,13.815,9.365,
24/07/2025,-1.07,13.38,13.38,8.93,
,,,,,
,,,,,
