date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*former BH8 at Chessjen
09/08/2024,0,13.5,13.5,8.5,
29/09/2024,-1.51,11.99,11.99,6.99,
08/08/2025,-1.76,10.48,10.48,5.48,
,,,,,
