date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*former BH12
07/08/2024,0,9.3,9.3,4.3,
30/09/2024,-0.99,8.31,8.31,3.31,
23/07/2025,-1.21,8.09,8.09,3.09,
,,,,,
