AH2G,distance (cm),cum distance (cm),distance till bottom (cm),approx. Measurement depth (m),measurement depth 082025 [m]
#1,1300,1300,1200,3,8.3
#2,300,1600,900,6,11.3
#3,300,1900,600,9,14.3
#4,300,2200,300,12,17.3
#5,300,2500,0,15,20.3
total length,2500,,,,
ice thickness gpr,1500,,,,
Logger,A55204,,,,
,,,,,
date,06/08/2025,,,,
ice thickness (measured),2030,,,,
