date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*former BH4
06/08/2024,0,15.25,13.3,8.3,
07/09/2024,-1.78,13.47,11.52,6.52,
19/10/2024,-1.89,13.36,11.41,6.41,
24/07/2025,-3.43,11.82,9.87,4.87,
