date,cummulative surface melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],*former BH11
28/08/2024,0,7,7,2,
20/10/2024,0,7,7,2,
05/09/2024,-0.74,6.26,6.26,1.26,
,,,,,
