chain,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
A551FD,0.009434999999999999,-0.0065669999999999895,0.016973000000000016,0.030327999999999994,-0.040576,-0.003681999999999991,0.020939000000000013,0.025057999999999997,0.006987999999999994,0.013782000000000016
A551FE,-0.020367499999999983,-0.181417,-0.01949200000000001,0.11735418,-0.074464,0.01629649999999999,0.0018480000000000024,0.0637619,-0.006345500000000004,-0.16261800000000004
A55200,0.027172500000000002,0.028050400000000003,0.0319484,0.013800000000000007,0.037200300000000006,,,,,
A55201,-0.030459999999999987,-0.08113300000000001,-0.03694449999999999,-0.02959400000000001,-0.038092000000000015,-0.03081499999999998,-0.093412,-0.010342000000000018,2.5999999999998247e-05,0.004562999999999998
A55202,0.003374999999999989,-0.002368000000000009,0.011344999999999994,0.01146649999999999,0.12113845,,,,,
A55203,-0.002693000000000001,-0.001474000000000003,-0.0037589999999999985,-0.034949999999999995,-0.003694000000000003,,,,,
A55204,-0.0035580000000000056,0.002116999999999994,-0.010761999999999994,-0.010758000000000018,-0.017971000000000015,,,,,
A55205,-0.011146500000000004,-0.014350000000000002,-0.016574000000000005,-0.003367999999999982,-0.083507,,,,,
